时间,电价(元/kWh),负荷(kW),温度(℃),风速(m/s),云量(%)
2022/1/1 0:00,372.8917,40456222,15,1,0
2022/1/1 0:15,393.635,40143222,14.5,1.5,0
2022/1/1 0:30,367.5862,39277,14,2,0
2022/1/1 0:45,383.8446,38426,14,2,0
2022/1/1 1:00,375.5868,37029,14,2,0
2022/1/1 1:15,391.1182,36761,14,1.5,0
2022/1/1 1:30,379.9082,35424,14,1,0
2022/1/1 1:45,380.8923,34307,14,1,0
2022/1/1 2:00,375.9719,34081,14,1,0
2022/1/1 2:15,385.8127,33720,14,1,0
2022/1/1 2:30,362.7937,33451,14,1,0
2022/1/1 2:45,0,33104,14,1.5,0
2022/1/1 3:00,9.995,32020,14,2,0
2022/1/1 3:15,360.2326,31574,14,2,0
2022/1/1 3:30,343.9989,31070,14,2,0
2022/1/1 3:45,9.995,30586,13.5,2,0
2022/1/1 4:00,244.2636,30396,13,2,0
2022/1/1 4:15,209.4923,29948,13,2,0
2022/1/1 4:30,227.1822,29585,13,2,0
2022/1/1 4:45,182.4396,29060,12.5,2,0
2022/1/1 5:00,200.5215,28942,12,2,0
2022/1/1 5:15,3.6492,28894,12.5,2,0
2022/1/1 5:30,229.383,28878,13,2,0
2022/1/1 5:45,195.878,28468,13,2,0
2022/1/1 6:00,3.041,28734,13,2,0
2022/1/1 6:15,6.7543,28815,13,1.5,0
2022/1/1 6:30,176.3187,28762,13,1,0
2022/1/1 6:45,200.5216,28833,13,1,0
2022/1/1 7:00,355.2095,29275,13,1,0
2022/1/1 7:15,372.7389,30453,13,1,0
2022/1/1 7:30,387.3482,30862,13,1,0
2022/1/1 7:45,384.66,31206,13.5,1,0
2022/1/1 8:00,373.53,30435,14,1,0
2022/1/1 8:15,373.53,30075,14,1,0
2022/1/1 8:30,0,30385,14,1,0
2022/1/1 8:45,364.66,30097,14.5,1,9
2022/1/1 9:00,372.9728,29757,15,1,18
2022/1/1 9:15,0,30207,15,1,18
2022/1/1 9:30,378.4938,30165,15,1,18
2022/1/1 9:45,0,29399,15.5,1,18
2022/1/1 10:00,20.8977,29602,16,1,18
2022/1/1 10:15,22.2117,29120,16.5,1,16.5
2022/1/1 10:30,149.7762,29842,17,1,15
2022/1/1 10:45,386.0333,29708,17.5,1.5,15
2022/1/1 11:00,374.7004,30114,18,2,15
2022/1/1 11:15,404.7145,30830,18.5,1.5,16.5
2022/1/1 11:30,344.1111,30803,19,1,18
2022/1/1 11:45,385.251,31261,19,1,9
2022/1/1 12:00,413.0057,31190,19,1,0
2022/1/1 12:15,396.8636,31060,19.5,1,0
2022/1/1 12:30,395.5348,30604,20,1,0
2022/1/1 12:45,10,29814,20.5,1.5,0
2022/1/1 13:00,329.5361,30174,21,2,0
2022/1/1 13:15,0,30467,21,1.5,0
2022/1/1 13:30,299.8508,29800,21,1,0
2022/1/1 13:45,0,29276,21.5,1,0
