时间,电价(元/kWh),负荷(kW),温度(℃),风速(m/s),云量(%)
2024/7/1 0:00,343.1686,65704,31,4,82
2024/7/1 0:15,394.1587,69723,31,4,82
2024/7/1 0:30,367.5205,69935,31,4,82
2024/7/1 0:45,351.9557,68690,31,3.5,82
2024/7/1 1:00,341.578,67105,31,3,82
2024/7/1 1:15,332.9944,66414,31,3.5,82
2024/7/1 1:30,330.6267,66848,31,4,82
2024/7/1 1:45,332.7715,66241,30.5,4,82
2024/7/1 2:00,321.7812,65339,30,4,82
2024/7/1 2:15,320.5902,65812,30,3.5,82
2024/7/1 2:30,317.4734,65431,30,3,82
2024/7/1 2:45,312.526,65202,30,3.5,82
2024/7/1 3:00,312.526,64390,30,4,82
2024/7/1 3:15,311.9147,63871,30,3.5,82
2024/7/1 3:30,310.9821,62960,30,3,82
2024/7/1 3:45,305.6332,61962,30,3.5,82
2024/7/1 4:00,302.0606,61193,30,4,82
2024/7/1 4:15,300.2968,60292,30,3.5,82
2024/7/1 4:30,302.0303,59280,30,3,82
2024/7/1 4:45,299.4177,58142,30,2.5,82
2024/7/1 5:00,300.3457,57309,30,2,82
2024/7/1 5:15,297.6297,56456,29.5,2,82
2024/7/1 5:30,299.6272,56423,29,2,82
2024/7/1 5:45,294.4913,55906,29,2,82
2024/7/1 6:00,299.6272,55786,29,2,82
2024/7/1 6:15,299.6272,55948,29.5,2.5,82
2024/7/1 6:30,279.652,56145,30,3,82
2024/7/1 6:45,294.5226,56228,30,2.5,82
2024/7/1 7:00,279.6816,55621,30,2,82
2024/7/1 7:15,270.0939,54413,30,2,82
2024/7/1 7:30,279.652,55040,30,2,82
2024/7/1 7:45,296.2135,56039,31,2.5,82
2024/7/1 8:00,304.3744,60304,32,3,82
2024/7/1 8:15,328.1266,63311,32,3,51
2024/7/1 8:30,326.9101,65387,32,3,20
2024/7/1 8:45,333.0467,66410,32.5,4.5,30.5
2024/7/1 9:00,339.9543,68570,33,6,41
2024/7/1 9:15,401.3636,70395,33.5,5.5,41
2024/7/1 9:30,359.7125,71048,34,5,41
2024/7/1 9:45,362.6227,71371,34,5.5,41
2024/7/1 10:00,336.94,71706,34,6,41
2024/7/1 10:15,352.0409,70365,34,6,41
2024/7/1 10:30,338.836,70556,34,6,41
2024/7/1 10:45,341.4572,70719,34,6.5,41
2024/7/1 11:00,329.5009,70290,34,7,41
2024/7/1 11:15,326.7085,70730,34,7,38
2024/7/1 11:30,338.1434,69505,34,7,35
2024/7/1 11:45,307.3575,67895,34,7,35
2024/7/1 12:00,30.7997,61935,34,7,35
2024/7/1 12:15,306.9256,62739,34.5,6.5,35
2024/7/1 12:30,338.7101,64537,35,6,35
2024/7/1 12:45,325.4826,65575,35.5,6.5,35
2024/7/1 13:00,279.4402,66361,36,7,35
2024/7/1 13:15,309.0844,66857,35.5,7,37
2024/7/1 13:30,315.1685,69349,35,7,39
2024/7/1 13:45,364.8424,73046,35,7.5,39
2024/7/1 14:00,335.201,74040,35,8,39
2024/7/1 14:15,327.1527,73877,34,7.5,39
2024/7/1 14:30,327.1626,74301,33,7,39
2024/7/1 14:45,337.8831,74822,33.5,6.5,39
2024/7/1 15:00,331.341,74773,34,6,39
2024/7/1 15:15,342.2926,74209,33.5,6.5,39
2024/7/1 15:30,325.6156,74578,33,7,39
2024/7/1 15:45,335.6766,74924,33.5,7,39
2024/7/1 16:00,340.0891,74913,34,7,39
2024/7/1 16:15,342.475,75499,34,7.5,39
2024/7/1 16:30,337.7617,75174,34,8,39
2024/7/1 16:45,349.9482,74471,34,7,27.5
2024/7/1 17:00,372.2076,75088,34,6,16
2024/7/1 17:15,363.9744,75960,34,6,16
2024/7/1 17:30,306.4021,73142,34,6,16
2024/7/1 17:45,315.5752,71347,34,6.5,16
2024/7/1 18:00,317.5623,70508,34,7,16
2024/7/1 18:15,324.8523,71186,34,7,8
2024/7/1 18:30,332.7286,72355,34,7,0
2024/7/1 18:45,337.3568,72920,33.5,6,8
2024/7/1 19:00,354.3156,73024,33,5,16
2024/7/1 19:15,394.8389,74005,32.5,5.5,16
2024/7/1 19:30,391.2764,75393,32,6,16
2024/7/1 19:45,369.3715,74880,32,5.5,16
2024/7/1 20:00,334.452,73928,32,5,16
2024/7/1 20:15,355.9074,73910,32,5,16
2024/7/1 20:30,368.9921,74551,32,5,16
2024/7/1 20:45,368.1577,74384,31.5,5,16
2024/7/1 21:00,415.6701,74094,31,5,16
2024/7/1 21:15,406.7516,73830,31,4.5,15.5
2024/7/1 21:30,460.8831,74945,31,4,15
2024/7/1 21:45,379.8254,75587,31,3.5,25
2024/7/1 22:00,452.3612,75426,31,3,35
2024/7/1 22:15,388.1744,75133,31,3.5,35
2024/7/1 22:30,413.1438,74972,31,4,35
2024/7/1 22:45,402.3199,73009,31,4,35
2024/7/1 23:00,382.9962,71511,31,4,35
2024/7/1 23:15,370.3108,70146,31,4,35
2024/7/1 23:30,350.9317,68885,31,4,35
2024/7/1 23:45,339.5539,66428,31,4,35
2024/7/2 0:00,352.8026,67384,31,4,35
2024/7/2 0:15,382.2481,69674,30.5,3.5,35
2024/7/2 0:30,395.8687,69932,30,3,35
2024/7/2 0:45,371.4237,68545,30,3,35
2024/7/2 1:00,362.4443,66761,30,3,35
2024/7/2 1:15,353.5092,67013,30,3.5,35
2024/7/2 1:30,343.0599,66293,30,4,35
2024/7/2 1:45,337.44,65969,30,4,35
2024/7/2 2:00,332.4964,65987,30,4,35
2024/7/2 2:15,320.7034,65813,30,4,35
2024/7/2 2:30,316.2886,66005,30,4,35
2024/7/2 2:45,310.1029,65429,30,3.5,35
2024/7/2 3:00,310.1029,64940,30,3,35
2024/7/2 3:15,310.2825,64167,30,3.5,35
2024/7/2 3:30,302.7495,63259,30,4,35
2024/7/2 3:45,306.976,62094,30,4,35
2024/7/2 4:00,309.6152,61160,30,4,35
2024/7/2 4:15,309.2846,60483,30,3.5,35
2024/7/2 4:30,300.7511,59132,30,3,35
2024/7/2 4:45,303.1791,58365,30,3.5,35
2024/7/2 5:00,299.7519,57479,30,4,35
2024/7/2 5:15,302.7495,56802,30,4,58
2024/7/2 5:30,300.0617,56277,30,4,81
2024/7/2 5:45,300.4714,55900,30,3.5,81.5
2024/7/2 6:00,301.7503,55683,30,3,82
2024/7/2 6:15,303.7486,55808,30,3,82
2024/7/2 6:30,309.7437,56371,30,3,82
2024/7/2 6:45,305.4672,56417,29,2.5,89.5
2024/7/2 7:00,305.4672,55537,28,2,97
2024/7/2 7:15,299.7519,54990,28,3.5,96
2024/7/2 7:30,299.7519,55332,28,5,95
2024/7/2 7:45,300.1816,56642,28.5,4,86.5
2024/7/2 8:00,330.0336,61426,29,3,78
2024/7/2 8:15,210.7876,64813,30,2.5,78
2024/7/2 8:30,320.1353,66249,31,2,78
2024/7/2 8:45,320.4826,67088,31.5,3.5,78
2024/7/2 9:00,313.9171,69310,32,5,78
2024/7/2 9:15,321.6274,71150,31.5,5,78
2024/7/2 9:30,332.809,71917,31,5,78
2024/7/2 9:45,296.3514,72151,31.5,4.5,78
2024/7/2 10:00,210.0414,72629,32,4,78
2024/7/2 10:15,159.4336,71930,32.5,5.5,78
2024/7/2 10:30,243.8013,72203,33,7,78
2024/7/2 10:45,142.229,72281,33,6.5,79.5
2024/7/2 11:00,153.7919,72188,33,6,81
2024/7/2 11:15,150.3333,72630,33,5.5,81
2024/7/2 11:30,143.8377,71568,33,5,81
2024/7/2 11:45,315.8988,70567,33,4,81
2024/7/2 12:00,105.5747,63987,33,3,81
2024/7/2 12:15,314.7903,64729,33,3,81
2024/7/2 12:30,327.1299,66679,33,3,81
2024/7/2 12:45,311.2797,67670,33,3.5,81
2024/7/2 13:00,310.7779,68485,33,4,81
2024/7/2 13:15,316.1279,68822,33,4.5,81
2024/7/2 13:30,321.7132,70932,33,5,81
2024/7/2 13:45,325.2819,74981,30,6,89.5
2024/7/2 14:00,317.9884,75497,27,7,98
2024/7/2 14:15,314.895,74843,28,6,99
2024/7/2 14:30,317.4246,75195,29,5,100
2024/7/2 14:45,316.3823,75791,29,3.5,100
2024/7/2 15:00,308.8112,75741,29,2,100
2024/7/2 15:15,322.6785,75306,28,3,99
2024/7/2 15:30,307.3887,75803,27,4,98
2024/7/2 15:45,307.8052,76194,27,3,96.5
2024/7/2 16:00,318.127,76269,27,2,95
2024/7/2 16:15,318.0706,76496,26.5,3,96.5
2024/7/2 16:30,332.0444,76016,26,4,98
2024/7/2 16:45,332.6756,75438,26.5,2,90
2024/7/2 17:00,344.7175,75409,27,0,82
2024/7/2 17:15,337.1474,75545,27.5,1.5,82
2024/7/2 17:30,319.508,72543,28,3,82
2024/7/2 17:45,322.2715,70624,28,3,82
2024/7/2 18:00,317.3872,69899,28,3,82
2024/7/2 18:15,322.3723,70575,27.5,3,41
2024/7/2 18:30,330.3212,71673,27,3,0
2024/7/2 18:45,300.2515,72856,27,3,0
2024/7/2 19:00,326.573,72971,27,3,0
2024/7/2 19:15,331.2799,74638,27,3,0
2024/7/2 19:30,338.5736,75872,27,3,0
2024/7/2 19:45,339.8276,75452,27,3,0
2024/7/2 20:00,336.2776,74947,27,3,0
2024/7/2 20:15,336.6723,74545,27,3,7.5
2024/7/2 20:30,339.7508,75368,27,3,15
2024/7/2 20:45,341.5687,75346,27,3,15
2024/7/2 21:00,335.8475,74608,27,3,15
2024/7/2 21:15,384.1707,74309,27,3,15
2024/7/2 21:30,361.2809,75041,27,3,15
2024/7/2 21:45,353.4599,75028,27,3,7.5
2024/7/2 22:00,361.1412,74902,27,3,0
2024/7/2 22:15,358.4294,74400,27,3,0
2024/7/2 22:30,361.4669,74092,27,3,0
2024/7/2 22:45,359.1751,72195,27,2.5,0
2024/7/2 23:00,355.6853,71053,27,2,0
2024/7/2 23:15,352.0746,69639,27,2,7.5
2024/7/2 23:30,353.2678,68509,27,2,15
2024/7/2 23:45,345.0922,65869,27.5,2,15
2024/7/3 0:00,334.2889,63165,28,2,15
2024/7/3 0:15,414.9508,66733,28,2.5,15
2024/7/3 0:30,413.9473,67106,28,3,15
2024/7/3 0:45,395.3947,65824,28.5,3,15
2024/7/3 1:00,395.6662,64288,29,3,15
2024/7/3 1:15,379.4118,64876,28.5,2.5,15
2024/7/3 1:30,361.7242,63948,28,2,15
2024/7/3 1:45,361.2807,63233,28,1.5,15
2024/7/3 2:00,351.9296,62882,28,1,15
2024/7/3 2:15,351.8641,62925,28,1.5,15
2024/7/3 2:30,342.0795,63126,28,2,15
2024/7/3 2:45,337.282,62350,28,2.5,15
2024/7/3 3:00,345.9154,61890,28,3,15
2024/7/3 3:15,332.4694,61191,28,3,15
2024/7/3 3:30,332.8194,60409,28,3,15
2024/7/3 3:45,332.4471,59421,28,3,15
2024/7/3 4:00,332.4471,57997,28,3,15
2024/7/3 4:15,325.1503,57257,28,3,7.5
2024/7/3 4:30,324.6713,56168,28,3,0
2024/7/3 4:45,322.7285,55512,28,3,0
2024/7/3 5:00,322.4326,54567,28,3,0
2024/7/3 5:15,322.7601,54028,28,3,0
2024/7/3 5:30,327.2487,53234,28,3,0
2024/7/3 5:45,332.0647,52885,28,3,9
2024/7/3 6:00,331.1015,52574,28,3,18
2024/7/3 6:15,307.9845,52551,28,3,18
2024/7/3 6:30,322.868,52299,28,3,18
