时间,电价(元/kWh),负荷(kW),温度(℃),风速(m/s),云量(%)
2024/01/01 00:00,332.49,39381.0,20.0,2.0,81.0
2024/01/01 00:15,1444.71,40456.0,20.0,1.5,59.0
2024/01/01 00:30,375.0,39434.0,20.0,1.0,37.0
2024/01/01 00:45,440.0,39784.0,20.0,1.5,37.0
2024/01/01 01:00,360.12,39753.0,20.0,2.0,37.0
2024/01/01 01:15,349.99,40088.0,19.5,2.5,37.0
2024/01/01 01:30,342.62,39008.0,19.0,3.0,37.0
2024/01/01 01:45,370.0,38233.0,19.0,2.0,59.0
2024/01/01 02:00,366.0,38059.0,19.0,1.0,81.0
2024/01/01 02:15,366.0,37586.0,19.5,1.0,81.0
2024/01/01 02:30,324.2,36942.0,20.0,1.0,81.0
2024/01/01 02:45,327.18,36095.0,20.0,2.0,81.0
2024/01/01 03:00,360.0,35316.0,20.0,3.0,81.0
2024/01/01 03:15,350.0,34370.0,20.0,2.5,81.0
2024/01/01 03:30,370.0,33867.0,20.0,2.0,81.0
2024/01/01 03:45,352.0,33585.0,19.5,1.5,81.0
2024/01/01 04:00,334.33,33208.0,19.0,1.0,81.0
2024/01/01 04:15,331.57,33197.0,19.0,1.0,81.0
2024/01/01 04:30,322.57,33140.0,19.0,1.0,81.0
2024/01/01 04:45,323.28,33065.0,19.0,1.5,81.0
2024/01/01 05:00,322.36,33044.0,19.0,2.0,81.0
2024/01/01 05:15,331.57,32992.0,19.0,2.0,81.0
2024/01/01 05:30,331.57,32751.0,19.0,2.0,81.0
2024/01/01 05:45,328.42,32930.0,18.5,2.0,81.0
2024/01/01 06:00,413.72,32961.0,18.0,2.0,81.0
2024/01/01 06:15,368.41,33284.0,18.0,2.0,81.0
2024/01/01 06:30,410.0,32599.0,18.0,2.0,81.0
2024/01/01 06:45,428.22,32100.0,18.0,1.5,81.0
2024/01/01 07:00,421.09,32088.0,18.0,1.0,81.0
2024/01/01 07:15,500.0,32344.0,18.0,2.0,58.5
2024/01/01 07:30,448.82,32134.0,18.0,3.0,36.0
2024/01/01 07:45,450.0,33214.0,18.0,2.5,36.0
2024/01/01 08:00,999.57,32644.0,18.0,2.0,36.0
2024/01/01 08:15,468.07,32692.0,18.5,2.0,36.0
2024/01/01 08:30,865.84,32978.0,19.0,2.0,36.0
2024/01/01 08:45,520.0,32893.0,19.5,2.0,36.0
2024/01/01 09:00,847.37,33006.0,20.0,2.0,36.0
2024/01/01 09:15,870.2,32525.0,20.5,2.0,26.0
2024/01/01 09:30,662.21,30901.0,21.0,2.0,16.0
2024/01/01 09:45,697.75,28856.0,21.5,2.0,8.0
2024/01/01 10:00,741.98,28529.0,22.0,2.0,0.0
2024/01/01 10:15,871.16,29040.0,22.0,2.5,0.0
2024/01/01 10:30,499.89,29178.0,22.0,3.0,0.0
2024/01/01 10:45,469.52,28179.0,22.5,2.5,0.0
2024/01/01 11:00,479.18,27375.0,23.0,2.0,0.0
2024/01/01 11:15,767.65,27978.0,23.0,2.0,0.0
2024/01/01 11:30,503.54,27497.0,23.0,2.0,0.0
2024/01/01 11:45,410.0,28176.0,23.5,1.5,0.0
2024/01/01 12:00,342.0,26914.0,24.0,1.0,0.0
2024/01/01 12:15,382.0,26014.0,24.0,1.0,0.0
2024/01/01 12:30,334.94,25470.0,24.0,1.0,0.0
2024/01/01 12:45,376.45,24681.0,24.0,1.0,0.0
2024/01/01 13:00,383.19,24478.0,24.0,1.0,0.0
2024/01/01 13:15,400.0,24234.0,24.5,1.0,7.5
2024/01/01 13:30,420.0,24134.0,25.0,1.0,15.0
2024/01/01 13:45,444.66,24374.0,25.0,1.5,15.0
2024/01/01 14:00,450.0,25566.0,25.0,2.0,15.0
2024/01/01 14:15,445.66,26032.0,25.5,2.0,15.0
2024/01/01 14:30,450.0,25997.0,26.0,2.0,15.0
2024/01/01 14:45,452.54,26541.0,25.5,2.0,15.0
2024/01/01 15:00,458.82,27289.0,25.0,2.0,15.0
2024/01/01 15:15,459.51,28049.0,25.5,2.0,15.0
2024/01/01 15:30,499.57,28494.0,26.0,2.0,15.0
2024/01/01 15:45,471.03,28590.0,25.5,2.0,15.0
2024/01/01 16:00,482.38,29314.0,25.0,2.0,15.0
2024/01/01 16:15,514.72,30052.0,25.5,2.0,15.0
2024/01/01 16:30,519.52,29959.0,26.0,2.0,15.0
2024/01/01 16:45,524.41,29851.0,25.5,1.5,15.5
2024/01/01 17:00,549.11,30966.0,25.0,1.0,16.0
2024/01/01 17:15,519.38,32495.0,24.5,1.5,16.0
2024/01/01 17:30,504.48,33480.0,24.0,2.0,16.0
2024/01/01 17:45,493.84,34537.0,23.5,2.0,27.5
2024/01/01 18:00,499.59,34874.0,23.0,2.0,39.0
2024/01/01 18:15,477.45,34928.0,23.0,2.0,27.5
2024/01/01 18:30,499.61,35662.0,23.0,2.0,16.0
2024/01/01 18:45,598.75,35875.0,22.5,2.0,16.0
2024/01/01 19:00,490.0,36097.0,22.0,2.0,16.0
2024/01/01 19:15,509.61,37259.0,21.5,2.0,16.0
2024/01/01 19:30,505.0,37232.0,21.0,2.0,16.0
2024/01/01 19:45,543.81,37592.0,21.0,2.0,16.0
2024/01/01 20:00,505.32,37468.0,21.0,2.0,16.0
2024/01/01 20:15,578.95,37039.0,20.5,2.0,16.0
2024/01/01 20:30,797.09,36783.0,20.0,2.0,16.0
2024/01/01 20:45,553.15,35837.0,20.0,2.0,16.0
2024/01/01 21:00,598.71,35001.0,20.0,2.0,16.0
2024/01/01 21:15,631.74,34374.0,20.0,1.5,27.5
2024/01/01 21:30,697.8,33819.0,20.0,1.0,39.0
2024/01/01 21:45,582.17,33324.0,20.0,1.5,39.0
2024/01/01 22:00,806.84,33546.0,20.0,2.0,39.0
2024/01/01 22:15,846.66,33960.0,20.5,2.5,39.0
2024/01/01 22:30,499.7,33309.0,21.0,3.0,39.0
2024/01/01 22:45,470.0,32561.0,20.5,3.0,39.0
2024/01/01 23:00,470.0,31756.0,20.0,3.0,39.0
2024/01/01 23:15,440.0,31654.0,20.0,3.0,39.0
2024/01/01 23:30,420.0,31514.0,20.0,3.0,39.0
2024/01/01 23:45,420.12,31952.0,20.0,3.0,39.0
2024/01/02 00:00,435.0,39223.0,20.0,3.0,39.0
2024/01/02 00:15,707.57,41769.0,20.0,3.5,39.0
2024/01/02 00:30,633.02,40224.0,20.0,4.0,39.0
2024/01/02 00:45,459.66,39242.0,20.0,4.0,39.0
2024/01/02 01:00,464.18,38948.0,20.0,4.0,39.0
2024/01/02 01:15,454.0,37720.0,19.5,3.0,60.0
2024/01/02 01:30,456.67,36634.0,19.0,2.0,81.0
2024/01/02 01:45,453.78,36491.0,19.0,2.0,81.0
2024/01/02 02:00,490.0,35502.0,19.0,2.0,81.0
2024/01/02 02:15,441.11,34970.0,19.0,2.5,72.5
2024/01/02 02:30,430.0,34668.0,19.0,3.0,64.0
2024/01/02 02:45,425.0,34777.0,19.0,2.5,66.5
2024/01/02 03:00,430.0,34201.0,19.0,2.0,69.0
2024/01/02 03:15,420.27,33656.0,19.0,2.5,69.0
2024/01/02 03:30,420.27,33223.0,19.0,3.0,69.0
2024/01/02 03:45,410.86,32858.0,19.0,3.0,69.0
2024/01/02 04:00,400.0,32547.0,19.0,3.0,69.0
2024/01/02 04:15,405.56,32274.0,19.0,2.5,69.0
2024/01/02 04:30,400.0,32221.0,19.0,2.0,69.0
