day,base_mean_price,strat_mean_price,delta,pct
20260319,338.65,314.05,-24.60,-7.26
20260320,307.82,271.92,-35.90,-11.66
20260321,269.42,262.78,-6.64,-2.46
20260322,349.60,250.79,-98.81,-28.26
20260323,507.24,513.53,6.29,1.24
20260324,673.65,672.89,-0.75,-0.11
20260325,322.11,330.17,8.06,2.50
20260326,282.37,302.37,20.00,7.08
20260327,369.80,367.34,-2.46,-0.67
20260328,331.63,331.81,0.18,0.06
20260329,449.62,411.97,-37.65,-8.37
20260330,438.55,438.55,0.00,0.00
20260331,507.36,507.36,0.00,0.00
20260401,397.81,399.82,2.01,0.50
