day,avg_price,supply_demand_ratio,bid_thermal_count,total_trade_mwh,max_price,min_price
20260101,198.9489756561626,1.742918521566533,19,1803.357279338227,853.98584,222.71704
20260102,222.8065036720509,1.764486070811114,17,1769.074633597873,853.98584,219.37552
20260103,197.6166914502866,1.865219022657793,18,1731.097285465157,853.98584,221.6032
20260104,203.9176770650605,1.908874410958244,21,1694.022335110327,854.1617094736841,229.07248
20260105,181.7432888574921,2.324881653134497,16,1379.17893171141,853.98584,225.73096
20260106,258.251746485652,2.358067698215087,20,1367.895660953587,854.88856,232.414
20260107,210.371046159328,1.801805441122807,18,1751.172978478864,853.98584,223.35768
20260108,211.6013512321836,1.669328628433723,21,1884.43539382964,854.0444631578948,220.48936
20260109,226.7763686935855,1.689985547821311,19,1846.953472617147,853.98584,220.48936
20260110,203.5209243046075,1.786465330590019,18,1808.007440094848,853.98584,220.48936
20260111,221.316287539112,1.828277491384452,20,1770.336530254599,853.98584,205.6891199999999
20260112,169.5663571309382,2.226719983335485,16,1439.77809007421,253.52964,225.73096
20260113,238.5368116239119,2.258504839846005,22,1416.1661641991,854.88856,221.6032
20260114,208.4954453126039,1.846953185661192,18,1708.35144934658,853.98584,225.73096
20260115,209.0282786817611,1.711156908417256,22,1838.633160595429,853.98584,220.48936
20260116,224.3683460783301,1.732331427151686,18,1801.77569601042,853.98584,220.48936
20260117,202.3624647060095,1.83122869878248,18,1763.478866659226,853.98584,221.6032
20260118,216.3965182885038,1.874088544699324,21,1726.132565854995,853.98584,195.4152199999999
20260119,193.5051306393128,2.282514789296055,16,1406.150637632258,853.98584,225.73096
20260120,243.4297212484327,2.315096077290894,21,1387.647594972368,854.88856,230.18632
20260121,206.7302751183654,1.944394360923893,18,1624.005411576342,853.98584,224.47152
20260122,213.5213430887732,1.801433771691068,19,1747.07269934687,853.98584,218.26168
20260123,206.8909011078805,1.823725411317962,17,1709.375263909988,853.98584,221.6032
20260124,200.364070104972,1.927840284809374,18,1676.930060812738,853.98584,210.7924
20260125,225.6984066570317,1.972961321637898,21,1643.042101633794,854.1617094736841,230.3938000000001
20260126,170.2490960215251,2.402935233815271,17,1334.29315037767,854.1617094736841,218.27988
20260127,265.3277228650707,2.43723543868274,19,1334.321995134266,854.9642336842105,228.956
20260128,198.9785116893443,1.853600035779999,18,1712.910941598127,853.98584,214.04656
20260129,187.7895654180088,1.711597133069126,20,1839.68757951579,253.52964,220.48936
20260130,215.8796673552452,1.806749991286446,19,1806.809882776377,853.98584,216.034
20260131,211.9219652796195,1.810094160034371,19,1767.697119196897,853.98584,216.57272
20260201,188.6247573192322,1.810437564924129,18,1729.323044082482,853.98584,220.48936
20260202,186.4874240281406,2.210558789429875,21,1408.147022373008,854.1617094736841,229.07248
20260203,166.6388697560197,2.259964560957316,18,1371.217228642105,253.52964,225.73096
20260204,201.3034900698411,1.93955770688038,18,1638.129955391007,853.98584,224.85736
20260205,207.8702374610347,1.790969651725126,18,1759.818649764432,853.98584,218.56016
20260206,207.9403277294844,1.890535068171311,20,1724.939061905726,853.98584,212.71068
20260207,222.5766496718712,1.894034317277344,19,1690.287122852374,853.98584,216.57272
20260208,218.6084583647807,1.894393647007413,18,1653.76263509334,853.98584,213.31856
20260209,196.6148118539027,2.313069839118063,22,1346.810320139535,854.9642336842105,226.8448
20260210,174.213094589628,2.364766722523707,17,1310.679253550239,853.98584,225.73096
20260211,200.2383328643923,1.960538499382692,18,1621.553674696722,853.98584,215.45888
20260212,215.9371643794974,1.810343121515422,18,1742.288702500166,853.98584,225.73096
20260213,208.7045438797546,1.910985567706818,22,1706.304090241826,854.2203326315789,216.57272
20260214,213.1460743478889,1.914522669267123,20,1671.92801738701,853.98584,219.37552
20260215,226.7655723412311,1.914885885977444,19,1638.105028439845,853.98584,211.81888
20260216,200.8679427788524,2.338091027281599,21,1333.616632880106,855.0059021052632,225.73096
20260217,190.4138217361629,2.390347131781776,18,1297.374537074792,853.98584,224.61712
20260218,187.7979566474972,2.023781676782133,19,1568.504692123379,853.98584,213.2312
20260219,213.4941689190813,1.868741286725597,18,1688.438499799113,853.98584,215.1604
20260220,208.4230809648565,1.972630263439296,21,1654.552177070987,854.1617094736841,216.91488
20260221,221.3326491582984,1.976281465049934,19,1621.931957724046,853.98584,216.91488
20260222,181.7355351483599,1.97665639842833,19,1583.909240004103,853.98584,222.62968
20260223,217.672966666884,2.413513318484231,22,1295.971928557017,854.88856,232.23564
20260224,186.5223652593546,2.467455103774737,18,1256.494966620845,853.9272168421054,225.73096
20260225,201.6204293096937,2.205620726966658,18,1440.367947281169,853.98584,225.73096
20260226,191.170170885468,2.036649784226719,19,1546.958835020222,853.98584,225.73096
20260227,224.1298260579147,2.14987330184816,20,1524.964787694355,854.9642336842105,223.4304800000001
20260228,195.7915800440917,2.153852568012661,20,1485.151195711645,854.88856,227.81304
20260301,192.0481475674267,2.154261189575011,19,1454.173208754919,854.1617094736841,229.07248
20260302,223.7645008103198,2.614392650814428,19,1211.969940416972,854.9642336842105,224.61712
20260303,190.1981819703942,2.672824069425316,18,1162.236050483587,854.1030863157896,214.93836
20260304,225.00332140776,2.245515284097833,20,1442.380980754,854.88856,225.27232
20260305,184.7053416096265,2.151853703107392,19,1542.110184491247,854.9642336842105,0
20260306,191.6167462584399,2.028793775964563,19,1509.850293029508,853.98584,225.73096
20260307,202.2036948498405,2.117117380701555,17,1483.510269094191,853.98584,225.73096
20260308,244.7815973502801,2.205256843802212,20,1470.129318396549,854.88856,232.414
20260309,283.903543156758,2.652110115905296,18,1214.729913506294,854.9642336842105,225.73096
20260310,430.7127596561821,2.801215643852869,18,1212.415519860484,854.9642336842105,237.35712
20260311,258.4766809330598,2.36518105728815,17,1393.188539629172,854.2789557894737,0
20260312,215.2386976019596,2.094137977606181,20,1495.614246725831,854.88856,232.414
20260313,195.8885738416696,2.110125674485561,16,1466.607056551326,853.98584,216.91488
20260314,226.3409707621479,2.23223165189669,19,1447.162480807822,854.88856,241.0408
20260315,208.1472509433334,2.253436127679445,18,1409.149194885494,854.2203326315789,227.81304
20260316,238.5383632402648,2.759541926154565,16,1154.571483006548,854.9642336842105,244.32044
20260317,414.2961661010224,2.897132119496142,16,1174.732206904224,854.9642336842105,0
20260318,239.3951406545528,2.27899205525068,19,1457.220512513931,854.9642336842105,0
20260319,216.1240550547878,2.025474774389444,16,1522.560279493684,853.98584,220.2564
20260320,199.0348066046166,2.168596163943241,17,1491.704078417471,853.98584,225.73096
20260321,180.0095745152479,2.149847375245101,18,1458.899013338894,854.1617094736841,229.07248
20260322,216.3527197661313,2.180539335942309,18,1430.334342736705,853.98584,225.73096
